Таблица вычисления эффективности выбранной позиции.

   |  ld  |  cd  |  rd  |  lm  |  cm  |  rm  |  lf  |  cf  |  rf  |

ld | 1.0  | 0.85 | 0.75 | 0.65 | 0.55 | 0.45 | 0.3  | 0.2  | 0.1  |

cd | 0.85 | 1.0  | 0.85 | 0.5  | 0.65 | 0.5  | 0.2  | 0.3  | 0.2  |

rd | 0.75 | 0.85 | 1.0  | 0.45 | 0.55 | 0.65 | 0.1  | 0.2  | 0.3  |

lm | 0.65 | 0.55 | 0.45 | 1.0  | 0.85 | 0.75 | 0.65 | 0.55 | 0.45 |

cm | 0.5  | 0.65 | 0.5  | 0.85 | 1.0  | 0.85 | 0.5  | 0.65 | 0.5  |

rm | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 1.0  | 0.45 | 0.55 | 0.65 |

lf | 0.3  | 0.2  | 0.1  | 0.65 | 0.55 | 0.45 | 1.0  | 0.85 | 0.75 |

cf | 0.2  | 0.3  | 0.2  | 0.5  | 0.65 | 0.5  | 0.85 | 1.0  | 0.85 |

rf | 0.1  | 0.2  | 0.3  | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 1.0  |
